reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
528,Países Bajos,000,Mundo,090111,Café sin tostar ni descafeinar,418203,-787537,54759.000,Toneladas,7637.1555360762614364761956939,USD/Toneladas,0.8386977,36,63,17
404,Kenya,000,Mundo,090111,Café sin tostar ni descafeinar,402533,395709,53314.000,Toneladas,7550.2307086318790561578572232,USD/Toneladas,0.8072711,10,41,8
834,"Tanzanía, República Unida de",000,Mundo,090111,Café sin tostar ni descafeinar,361274,360739,70789.000,Toneladas,5103.5330347935413694218028225,USD/Toneladas,0.7245277,26,23,5
598,Papua Nueva Guinea,000,Mundo,090111,Café sin tostar ni descafeinar,301728,301714,41681.000,Toneladas,7238.981790264149132698351767,USD/Toneladas,0.6051087,13,10,3
842,Estados Unidos de América,000,Mundo,090111,Café sin tostar ni descafeinar,250571,-9576849,30947.000,Toneladas,8096.778363007722881054706434,USD/Toneladas,0.5025154,6,9,-3
724,España,000,Mundo,090111,Café sin tostar ni descafeinar,212262,-1538119,37818.000,Toneladas,5612.7240996350943994923052515,USD/Toneladas,0.4256872,39,85,10
156,China,000,Mundo,090111,Café sin tostar ni descafeinar,172438,-1393294,23145.000,Toneladas,7450.3348455389933030892201339,USD/Toneladas,0.3458214,12,0,-2
222,El Salvador,000,Mundo,090111,Café sin tostar ni descafeinar,165988,165986,25485.000,Toneladas,6513.1646066313517755542475966,USD/Toneladas,0.3328851,6,23,-5
381,Italia,000,Mundo,090111,Café sin tostar ni descafeinar,139342,-3984950,0.000,No medida,,,0.2794476,21,104,
826,Reino Unido,000,Mundo,090111,Café sin tostar ni descafeinar,136866,-949247,22445.000,Toneladas,6097.8391623969703720204945422,USD/Toneladas,0.2744819,30,12,4
646,Ruanda,000,Mundo,090111,Café sin tostar ni descafeinar,128427,128422,20444.000,Toneladas,6281.8919976521228722363529642,USD/Toneladas,0.2575573,10,42,3
418,"Lao, República Democrática Popular",000,Mundo,090111,Café sin tostar ni descafeinar,126772,126630,26077.000,Toneladas,4861.4487862867661157341718756,USD/Toneladas,0.2542379,7,61,1
124,Canadá,000,Mundo,090111,Café sin tostar ni descafeinar,87848,-1595995,12389.000,Toneladas,7090.806360481071918637501009,USD/Toneladas,0.1761768,30,86,16
108,Burundi,000,Mundo,090111,Café sin tostar ni descafeinar,77757,77748,12549.000,Toneladas,6196.2706191728424575663399474,USD/Toneladas,0.1559392,18,196,3
384,Côte d'Ivoire,000,Mundo,090111,Café sin tostar ni descafeinar,53069,52951,24956.000,Toneladas,2126.5026446545920820644334028,USD/Toneladas,0.1064284,12,-62,0
682,Arabia Saudita,000,Mundo,090111,Café sin tostar ni descafeinar,48067,-496824,7547.000,Toneladas,6369.0208029680667815025838081,USD/Toneladas,0.09639707,47,120,36
792,Türkiye,000,Mundo,090111,Café sin tostar ni descafeinar,45293,-683507,7765.000,Toneladas,5832.9684481648422408242112041,USD/Toneladas,0.09083389,36,86,16
120,Camerún,000,Mundo,090111,Café sin tostar ni descafeinar,43207,43200,8934.000,Toneladas,4836.243563913140810387284531,USD/Toneladas,0.08665127,8,45,-15
862,"Venezuela, República Bolivariana de",000,Mundo,090111,Café sin tostar ni descafeinar,42182,42126,7039.000,Toneladas,5992.612587015201022872567126,USD/Toneladas,0.08459593,38,185,21
251,Francia,000,Mundo,090111,Café sin tostar ni descafeinar,40090,-1546185,4077.000,Toneladas,9833.210694137846455727250429,USD/Toneladas,0.08040045,13,50,-3
591,Panamá,000,Mundo,090111,Café sin tostar ni descafeinar,38006,25855,1715.000,Toneladas,22160.93294460641399416909621,USD/Toneladas,0.07622126,173,789,81
180,"Congo, República Democrática del",000,Mundo,090111,Café sin tostar ni descafeinar,33499,33435,5598.000,Toneladas,5984.1014648088603072525902108,USD/Toneladas,0.06718253,19,2,-7
705,Eslovenia,000,Mundo,090111,Café sin tostar ni descafeinar,32702,-63891,5125.000,Toneladas,6380.8780487804878048780487805,USD/Toneladas,0.0655832,13,59,-8
752,Suecia,000,Mundo,090111,Café sin tostar ni descafeinar,31559,-685164,3838.000,Toneladas,8222.772277227722772277227723,USD/Toneladas,0.06329094,55,138,37
