reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%),Distance (km),Concentration
208,Dinamarca,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2985,-2948,275.000,Toneladas,10854.545454545454545454545455,USD/Toneladas,0.3857281,17,32,0,575,0.9735
704,Viet Nam,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2948,-1971,3973.000,Toneladas,742.00855776491316385602819028,USD/Toneladas,0.3809818,56,2,143,2683,0.9555
040,Austria,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2625,-2574,213.000,Toneladas,12323.943661971830985915492958,USD/Toneladas,0.3391447,6,-4,-1,834,0.8699
036,Australia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2610,-2610,14088579.000,Unidad,0.1852564406956869106529480368,USD/Unidad,0.3372829,-20,23,-12,12325,0.2768
372,Irlanda,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2426,-2426,252.000,Toneladas,9626.984126984126984126984127,USD/Toneladas,0.3134929,-14,-19,-23,1015,0.6303
620,Portugal,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2290,-2150,344.000,Toneladas,6656.9767441860465116279069767,USD/Toneladas,0.2959187,32,14,27,661,0.8572
056,Bélgica,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2125,-1090,285.000,Toneladas,7456.1403508771929824561403509,USD/Toneladas,0.2745738,-2,-3,0,168,0.8708
804,Ucrania,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2040,-2040,635.000,Toneladas,3212.5984251968503937007874016,USD/Toneladas,0.2636108,-6,-4,-13,6965,0.2288
398,Kazajstán,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1596,-1596,229.000,Toneladas,6969.4323144104803493449781659,USD/Toneladas,0.2062395,18,-46,12,8135,0.3258
152,Chile,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1591,-1591,489.000,Toneladas,3253.5787321063394683026584867,USD/Toneladas,0.2056374,13,44,9,3647,0.7964
458,Malasia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1584,-1534,851.000,Toneladas,1861.3396004700352526439482961,USD/Toneladas,0.204662,42,-10,46,2813,0.5407
440,Lituania,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1482,-1467,224.000,Toneladas,6616.0714285714285714285714286,USD/Toneladas,0.1915072,-8,-2,-7,1287,0.7541
348,Hungría,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1472,-1426,163.000,Toneladas,9030.674846625766871165644172,USD/Toneladas,0.190215,11,3,2,1269,0.5545
705,Eslovenia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1430,-1430,137.000,Toneladas,10437.956204379562043795620438,USD/Toneladas,0.1847876,4,0,-6,3172,0.5085
191,Croacia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1359,-1357,200.000,Toneladas,6795,USD/Toneladas,0.1756129,29,40,21,1102,0.9752
703,Eslovaquia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1358,-1344,2356.000,Toneladas,576.40067911714770797962648557,USD/Toneladas,0.1754836,-2,-9,43,2385,0.2173
233,Estonia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1328,-1328,142.000,Toneladas,9352.112676056338028169014085,USD/Toneladas,0.171607,25,213,16,7710,0.3359
100,Bulgaria,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1177,-1171,313.000,Toneladas,3760.3833865814696485623003195,USD/Toneladas,0.1520422,-11,-18,-27,621,0.8267
490,Taipei Chino,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1139,-1126,268.000,Toneladas,4250,USD/Toneladas,0.1471602,17,43,11,11764,0.5151
300,Grecia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1117,-1114,160.000,Toneladas,6981.25,USD/Toneladas,0.1444049,36,12,26,1338,0.4126
498,"Moldova, República de",000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1108,-1108,63.000,Toneladas,17587.301587301587301587301587,USD/Toneladas,0.1431781,26,46,8,8264,0.2954
222,El Salvador,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",917,-917,683.000,Toneladas,1342.6061493411420204978038067,USD/Toneladas,0.1185476,14,23,-1,579,0.6626
112,Belarús,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",870,-870,193.000,Toneladas,4507.7720207253886010362694301,USD/Toneladas,0.1123882,-32,59,-12,7237,0.271
591,Panamá,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",860,-860,160.000,Toneladas,5375,USD/Toneladas,0.1111069,18,12,14,713,0.9546
